id,name,brand,category,flavor,weight,weights,price,originalPrice,discount,rating,reviews,description,keyBenefits,nutritionalInfo,inStock,pricingKey,image,image1,image2,image3,images
24,GNC Pro Performance 100% Whey Protein,GNC,Whey Protein,Chocolate Fudge,4LB/1.8KG,"[""2LB/907GM"", ""4LB/1.8KG""]",4599,5689,19,4.6,7800,GNC Pro Performance whey for muscle building,"[""24g protein per serving"", ""Premium quality"", ""Great mixability""]","Per Serving: 24g Protein, 3g Carbs, 1.5g Fat",true,GNC_PRO_4LB,"""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_fudge_4Lb1.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_fudge_4Lb2.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_fudge_4Lb3.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_fudge_4Lb4.jpg""",[]
25,GNC Pro Performance 100% Whey Protein,GNC,Whey Protein,Vanilla,4LB/1.8KG,"[""2LB/907GM"", ""4LB/1.8KG""]",4599,5689,19,4.6,7400,GNC Pro Performance whey for muscle building,"[""24g protein per serving"", ""Premium quality"", ""Great mixability""]","Per Serving: 24g Protein, 3g Carbs, 1.5g Fat",true,GNC_PRO_4LB,"""/image/Whey_protien/GncProPerform/gnc_pro_perfm_vanilla_4Lb1.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_vanilla_4Lb2.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_vanilla_4Lb3.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_vanilla_4Lb4.jpg""",[]
26,GNC Pro Performance 100% Whey Protein,GNC,Whey Protein,Chocolate,4LB/1.8KG,"[""2LB/907GM"", ""4LB/1.8KG""]",4599,5689,19,4.6,7100,GNC Pro Performance whey for muscle building,"[""24g protein per serving"", ""Premium quality"", ""Great mixability""]","Per Serving: 24g Protein, 3g Carbs, 1.5g Fat",true,GNC_PRO_4LB,"""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_4Lb1.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_4Lb2.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_4Lb3.jpg""","""/image/Whey_protien/GncProPerform/gnc_pro_perfm_chocolate_4Lb4.jpg""",[]
27,GNC AMP Pure Isolate (zero carb),GNC,Whey Protein,Chocolate Frosting,1KG,"[""1KG"", ""2KG""]",4199,5339,21,4.7,5200,Pure whey isolate for lean muscle,"[""25g protein per serving"", ""Zero sugar"", ""Fast absorbing isolate""]","Per Serving: 25g Protein, 1g Carbs, 0.5g Fat",true,GNC_AMP_ISO_1KG,"""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_2Lb1.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_2Lb2.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_2Lb3.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_2Lb4.webp""",[]
29,GNC AMP Pure Isolate (zero carb),GNC,Whey Protein,Vanilla,1KG,"[""1KG"", ""2KG""]",4199,5339,21,4.7,4900,Pure whey isolate for lean muscle,"[""25g protein per serving"", ""Zero sugar"", ""Fast absorbing isolate""]","Per Serving: 25g Protein, 1g Carbs, 0.5g Fat",true,GNC_AMP_ISO_1KG,"""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_2Lb1.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_2Lb2.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_2Lb3.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_2Lb4.webp""",[]
28,GNC AMP Pure Isolate (zero carb),GNC,Whey Protein,Chocolate Frosting,2KG,"[""1KG"", ""2KG""]",7599,9339,19,4.8,6800,Pure whey isolate for lean muscle,"[""25g protein per serving"", ""Zero sugar"", ""Fast absorbing isolate""]","Per Serving: 25g Protein, 1g Carbs, 0.5g Fat",true,GNC_AMP_ISO_2KG,"""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_4Lb1.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_2Lb2.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_2Lb3.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_chocolate_fudge_2Lb4.webp""",[]
30,GNC AMP Pure Isolate (zero carb),GNC,Whey Protein,Vanilla,2KG,"[""1KG"", ""2KG""]",7599,9339,19,4.8,6200,Pure whey isolate for lean muscle,"[""25g protein per serving"", ""Zero sugar"", ""Fast absorbing isolate""]","Per Serving: 25g Protein, 1g Carbs, 0.5g Fat",true,GNC_AMP_ISO_2KG,"""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_4Lb.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_2Lb2.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_2Lb3.webp""","""/image/Whey_protien/GncPureIsolate/gnc_pure_isolate_vanilla_2Lb4.webp""",[]
32,GNC Select Whey Protein,GNC,Whey Protein,Chocolate,1KG,"[""1KG"", ""2KG""]",1899,2499,24,4.4,4200,GNC Select whey protein for everyday nutrition,"[""24g protein per serving"", ""Affordable quality"", ""Great taste""]","Per Serving: 24g Protein, 4g Carbs, 2g Fat",true,GNC_SEL_1KG,"""/image/Whey_protien/GncSelect/gnc_select_choc_1kg1.jpg""","""/image/Whey_protien/GncSelect/gnc_select_choc_1kg2.jpg""","""/image/Whey_protien/GncSelect/gnc_select_choc_1kg3.jpg""","""/image/Whey_protien/GncSelect/gnc_select_choc_1kg4.jpg""",[]
33,GNC Select Whey Protein,GNC,Whey Protein,Chocolate,2KG,"[""1KG"", ""2KG""]",3599,4799,25,4.5,5100,GNC Select whey protein for everyday nutrition,"[""24g protein per serving"", ""Affordable quality"", ""Great taste""]","Per Serving: 24g Protein, 4g Carbs, 2g Fat",true,GNC_SEL_2KG,"""/image/Whey_protien/GncSelect/gnc_select_choc_2kg1.jpg""","""/image/Whey_protien/GncSelect/gnc_select_choc_2kg2.jpg""","""/image/Whey_protien/GncSelect/gnc_select_choc_2kg3.jpg""","""/image/Whey_protien/GncSelect/gnc_select_choc_2kg4.jpg""",[]
34,BPI  Sports Whey HD,BPI,Whey Protein,Chocolate Delight,1KG,"[""1KG"", ""2KG""]",2999,4399,32,4.5,4800,BPI Whey HD ultra-premium whey protein,"[""25g protein per serving"", ""HD formula"", ""Great taste""]","Per Serving: 25g Protein, 3g Carbs, 1.5g Fat",true,BPI_1KG,"""/image/Whey_protien/BPI/bpi_delight_1kg.webp""","""/image/Whey_protien/BPI/bpi_delight_1kg2.webp""","""/image/Whey_protien/BPI/bpi_delight_1kg3.webp""","""/image/Whey_protien/BPI/bpi_delight_1kg.webp""",[]
35,BPI  Sports Whey HD,BPI,Whey Protein,Chocolate Delight,2KG,"[""1KG"", ""2KG""]",4599,8499,46,4.6,5600,BPI Whey HD ultra-premium whey protein,"[""25g protein per serving"", ""HD formula"", ""Great taste""]","Per Serving: 25g Protein, 3g Carbs, 1.5g Fat",true,BPI_2KG,"""/image/Whey_protien/BPI/bpi_delight_2kg1.webp""","""/image/Whey_protien/BPI/bpi_delight_2kg2.webp""","""/image/Whey_protien/BPI/bpi_delight_2kg3.webp""","""/image/Whey_protien/BPI/bpi_delight_2kg4.webp""",[]
39, Isopure low carbs Isolate Whey Protein,Isopure,Whey Protein,Chocolate,1KG,"[""1KG"", ""2KG""]",4799,5289,9,4.6,5200,Isopure 100% whey protein isolate,"[""25g protein per serving"", ""Zero carbs"", ""Pure isolate""]","Per Serving: 25g Protein, 0g Carbs, 0.5g Fat",true,ISOPURE_1KG,"""/image/Whey_protien/Isopure/isopure_choc_1kg.png""","""/image/Whey_protien/Isopure/isopure_choc_1kg1.jpg""","""/image/Whey_protien/Isopure/isopure_choc_1kg2.jpg""","""/image/Whey_protien/Isopure/isopure_choc_1kg3.jpg""",[]
701,Wellbeing Nutrition Clean Whey Protein Concentrate 1kg,Wellbeing Nutrition,Whey Protein,Unflavoured,1KG,"[""1KG""]",2499,2999,17,4.5,1200,Unflavoured native whey protein concentrate supporting daily protein needs,"[ ""Supports lean muscle growth & strength"", ""High in essential amino acids (EAAs) & BCAAs"", ""Includes probiotics & digestive enzymes for easier digestion"" ]","Per serving: ~27g protein, ~12.7g EAAs, ~6g BCAAs, plus 4B CFU probiotics & digestive enzymes for gut comfort",true,WBN_CLN_WPC_1KG_unflavoured,"""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_clean_1kg.webp""","""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_clean_1kg2.webp""","""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_clean_1kg3.webp""","""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_clean_1kg4.webp""",[]
702,Wellbeing Nutrition Clean Whey Protein Isolate & Concentrate 1kg Swiss Chocolate,Wellbeing Nutrition,Whey Protein,Swiss Chocolate,1KG,"[""1KG""]",3299,3999,18,4.7,1800,"Swiss chocolate flavoured whey isolate & concentrate with Velositol®, probiotics & digestive enzymes","[ ""24g high-quality protein per serving"", ""Enhances muscle strength, endurance & recovery"", ""Velositol® to improve protein synthesis"", ""Probiotics & enzymes for gut-friendly digestion"" ]","Per serving: ~24g protein, ~11.5g EAAs, ~5.4g BCAAs, 1g glutamine, 4B CFU probiotics & digestive enzymes",true,WBN_CLN_WPI_WPC_SWISS_1KG,"""/image/Whey_protien/Wellbeing/wellbeing_swiss_1kg.avif""","""/image/Whey_protien/Wellbeing/wellbeing_swiss_1kg2.avif""","""/image/Whey_protien/Wellbeing/wellbeing_swiss_1kg3.avif""","""/image/Whey_protien/Wellbeing/wellbeing_swiss_1kg4.avif""",[]
703,Wellbeing Nutrition Clean Whey Protein Isolate,Wellbeing Nutrition,Whey Protein,Unflavoured,1KG,"[""1KG""]",3699,4999,26,4.6,1500,Ultra-pure unflavoured whey protein isolate delivering fast-absorbing protein,"[ ""High protein content (~30g per serving)"", ""Fast muscle recovery & reduced soreness"", ""Probiotics & digestive enzymes to support digestion"" ]","Per serving: ~26–31g ultra-pure protein, EAAs, BCAAs & 4B CFU probiotics for better tolerance and muscle support",true,WBN_CLN_WPI_UNFLAV_1KG,"""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_1kg.webp""","""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_1kg2.webp""","""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_1kg3.webp""","""/image/Whey_protien/Wellbeing/wellbeing_unflavoured_1kg4.webp""",[]
704,Wellbeing Nutrition Clean Whey Protein Isolate,Wellbeing Nutrition,Whey Protein,Dark Chocolate,1KG,"[""1KG""]",3699,4999,26,4.7,1600,Dark chocolate flavoured fast-absorbing whey protein isolate,"[ ""Rich protein (~26.6g per serving) to support muscle growth"", ""Fast absorption for post-workout recovery"", ""Digestive enzymes & probiotics for smoother digestion"" ]","Per serving: ~26.6g protein, EAAs, BCAAs & 4B CFU probiotics to aid muscle repair and gut health",true,WBN_CLN_WPI_DARK_CHOC_1KG,"""/image/Whey_protien/Wellbeing/wellbeing_dark_1kg.webp""","""/image/Whey_protien/Wellbeing/wellbeing_dark_1kg2.webp""","""/image/Whey_protien/Wellbeing/wellbeing_dark_1kg3.webp""","""/image/Whey_protien/Wellbeing/wellbeing_dark_1kg4.webp""",[]
41,Muscleblaze Biozyme Performance Whey,MuscleBlaze,Whey Protein,Rich Chocolate,1KG,"[""1KG"", ""2KG""]",2749,2989,8,4.7,8200,Biozyme enhanced whey for better absorption,"[""25g protein per serving"", ""Enhanced absorption"", ""Biozyme technology""]","Per Serving: 25g Protein, 3g Carbs, 1g Fat",true,MB_BIO_PER_1KG,"""/image/Whey_protien/MB_performance/mb_rich_choc_1kg1.jpg""","""/image/Whey_protien/MB_performance/mb_rich_choc_1kg2.jpg""","""/image/Whey_protien/MB_performance/mb_rich_choc_1kg3.jpg""","""/image/Whey_protien/MB_performance/mb_rich_choc_1kg4.jpg""",[]
42,Muscleblaze Biozyme Performance Whey,MuscleBlaze,Whey Protein,Rich Chocolate,2KG,"[""1KG"", ""2KG""]",5199,5609,7,4.8,10500,Biozyme enhanced whey for better absorption,"[""25g protein per serving"", ""Enhanced absorption"", ""Biozyme technology""]","Per Serving: 25g Protein, 3g Carbs, 1g Fat",true,MB_BIO_PER_2KG,"""/image/Whey_protien/MB_performance/mb_rich_choc_2kg1.jpg""","""/image/Whey_protien/MB_performance/mb_rich_choc_2kg2.jpg""","""/image/Whey_protien/MB_performance/mb_rich_choc_2kg3.jpg""","""/image/Whey_protien/MB_performance/mb_rich_choc_2kg4.jpg""",[]
43,Muscleblaze Biozyme Performance Whey,MuscleBlaze,Whey Protein,Chocolate Hazelnut,1KG,"[""1KG"", ""2KG""]",2749,2989,8,4.7,7600,Biozyme enhanced whey for better absorption,"[""25g protein per serving"", ""Enhanced absorption"", ""Biozyme technology""]","Per Serving: 25g Protein, 3g Carbs, 1g Fat",true,MB_BIO_PER_1KG,"""/image/Whey_protien/MB_performance/mb_choc_hazlenut_1kg1.jpg""","""/image/Whey_protien/MB_performance/mb_choc_hazlenut_1kg2.jpg""","""/image/Whey_protien/MB_performance/mb_choc_hazlenut_1kg3.jpg""","""/image/Whey_protien/MB_performance/mb_choc_hazlenut_1kg4.jpg""",[]
